"Story","Title","Result","Date","Stability","Duration (s)"
"Test login","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-15T15:00:38.2742504+03:00[Europe/Athens]","0.0","0.31"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-12T14:12:42.245488+03:00[Europe/Athens]","0.0","0.2"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-15T15:00:51.9754947+03:00[Europe/Athens]","0.0","0.29"
